Original, Converted
mata'te', mataʿteʿ
matsa', matsaʿ
matsora', matsoraʿ
ma'al, maʿal
ma'ayn, maʿayn
ma', maʿ
ma'ad, maʿad
ma'ah, maʿah
ma'akal, maʿakal
ma'akeleth, maʿakeleth
ma'akoleth, maʿakoleth
ma'al, maʿal
ma'alah, maʿalah
ma'alal, maʿalal
ma'am, maʿam
ma'amaq, maʿamaq
ma'amasah, maʿamasah
ma'an, maʿan
ma'anah, maʿanah
ma'aowr, maʿaowr
ma'ar, maʿar
ma'arah, maʿarah
ma'arakah, maʿarakah
ma'aratsah, maʿaratsah
ma'areketh, maʿareketh
ma'as, maʿas
ma'asah, maʿasah
ma'aseh, maʿaseh
ma'asehy, maʿasehy
ma'aser, maʿaser
ma'at, maʿat
ma'ataphet, maʿataphet
ma'ateh, maʿateh
ma'barah, maʿbarah
ma'der, maʿder
ma'en, maʿen
ma'gal, maʿgal
ma'iy, maʿiy
ma'onah, maʿonah
ma'own, maʿown
ma'owr, maʿowr
ma'owz, maʿowz
ma'oz, maʿoz
ma'utah, maʿutah
ma'uwph, maʿuwph
ma'uwrah, maʿuwrah
ma'yan, maʿyan
ma'yl, maʿyl
melo', meloʿ
mera', meraʿ
metash'el, metashʿel
metsora', metsoraʿ
meysha', meyshaʿ
me'ah, meʿah
me'ahowth, meʿahowth
me'ahym, meʿahym
me'at, meʿat
me'eh, meʿeh
me'od, meʿod
me'owah, meʿowah
mibtsa'r, mibtsaʿr
mikla', miklaʿ
milow', milowʿ
miqra', miqraʿ
miqra'ey, miqraʿey
miqtsowa', miqtsowaʿ
mire'ah, mireʿah
misha'lah, mishaʿlah
mishma'ath, mishmaʿath
mishqa', mishqaʿ
mish'an, mishʿan
mish'eneth, mishʿeneth
mish'ereth, mishʿereth
mish'y, mishʿy
mithnase', mithnaseʿ
mitsa'd, mitsaʿd
mits'ad, mitsʿad
miza'r, mizaʿr
mizra', mizraʿ
miz'ar, mizʿar
mora', moraʿ
mosheh's, moshehʿs
mowba', mowbaʿ
mowda', mowdaʿ
mowe'tsah, moweʿtsah
mowra', mowraʿ
mowshya', mowshyaʿ
mowtsa', mowtsaʿ
mow', mowʿ
mow'ab, mowʿab
mow'abite, mowʿabite
mow'al, mowʿal
mow'ed, mowʿed
mow'edym, mowʿedym
mow'etsah, mowʿetsah
mo'zanaym, moʿzanaym
mo'zanym, moʿzanym
mydaba', mydabaʿ
myka'el, mykaʿel
m'ayn, mʿayn
naba', nabaʿ
naba'ym, nabaʿym
nabuwkadne'tsar, nabuwkadneʿtsar
nabuwkadne'tstsar, nabuwkadneʿtstsar
nabuwkadre'tsar, nabuwkadreʿtsar
nabuw'ah, nabuwʿah
naby', nabyʿ
naby'ah, nabyʿah
naby'y, nabyʿy
naby'ym, nabyʿym
nab'ym, nabʿym
naga', nagaʿ
naka', nakaʿ
naqa', naqaʿ
naqe', naqeʿ
nasa', nasaʿ
nasha', nashaʿ
nashya', nashyaʿ
nasya', nasyaʿ
nasyi', nasyiʿ
nasy', nasyʿ
nasy'y, nasyʿy
nata', nataʿ
na', naʿ
na'ah, naʿah
na'al, naʿal
na'am, naʿam
na'amanym, naʿamanym
na'aph, naʿaph
na'aq, naʿaq
na'aqah, naʿaqah
na'ar, naʿar
na'as, naʿas
na'ats, naʿats
na'atsah, naʿatsah
na'atsuwts, naʿatsuwts
na'em, naʿem
na'qah, naʿqah
na'um, naʿum
na'uwrym, naʿuwrym
na'ym, naʿym
nebuwkadne'tstsar, nebuwkadneʿtstsar
nega', negaʿ
neta', netaʿ
ne'um, neʿum
ni'uphym, niʿuphym
noach's, noachʿs
no'am, noʿam
no'ar, noʿar
no'd, noʿd
nua', nuaʿ
nuwa', nuwaʿ
pacha', pachaʿ
padan-'aram, padan-ʿaram
paga', pagaʿ
pala', palaʿ
pany'el, panyʿel
para', paraʿ
pasa', pasaʿ
pasha', pashaʿ
pathuw'el, pathuwʿel
patsa', patsaʿ
pa'al, paʿal
pa'am, paʿam
pa'amym, paʿamym
pa'ar, paʿar
pa'er, paʿer
pa'ery, paʿery
pa'orah, paʿorah
pa'owr, paʿowr
pa'ran, paʿran
pa'ruwr, paʿruwr
pa'ulah, paʿulah
pela', pelaʿ
pele', peleʿ
pere', pereʿ
pesha', peshaʿ
petha', pethaʿ
pe'ah, peʿah
pe'ulah, peʿulah
phadn'aram, phadnʿaram
pharo'ah, pharoʿah
phar'aoh, pharʿaoh
phar'oah, pharʿoah
phar'oah's, pharʿoahʿs
phar'os, pharʿos
phera', pheraʿ
phe'ah, pheʿah
pith'om, pithʿom
pith'owm, pithʿowm
po'al, poʿal
po'rah, poʿrah
qala', qalaʿ
qana', qanaʿ
qapha', qaphaʿ
qara', qaraʿ
qarqa', qarqaʿ
qary', qaryʿ
qary'ah, qaryʿah
qatsa', qatsaʿ
qina'ah, qinaʿah
qin'ach, qinʿach
qin'ah, qinʿah
qipa'own, qipaʿown
qish'ah, qishʿah
qowa', qowaʿ
qowba', qowbaʿ
qow', qowʿ
raba', rabaʿ
rabya'y, rabyaʿy
rabyi'y, rabyiʿy
raby'ay, rabyʿay
raby'iy, rabyʿiy
raby'y, rabyʿy
raga', ragaʿ
rapha', raphaʿ
rapha'ym, raphaʿym
raphuwa'ah, raphuwaʿah
raqa', raqaʿ
raqya', raqyaʿ
rasa', rasaʿ
rasa'ym, rasaʿym
rasha', rashaʿ
rasha'ah, rashaʿah
ratsa', ratsaʿ
ra'a, raʿa
ra'ab, raʿab
ra'ah, raʿah
ra'ahwah, raʿahwah
ra'ahym, raʿahym
ra'al, raʿal
ra'alah, raʿalah
ra'am, raʿam
ra'ameses, raʿameses
ra'anan, raʿanan
ra'as, raʿas
ra'ash, raʿash
ra'ats, raʿats
ra'a', raʿaʿ
ra'eb, raʿeb
ra'mah, raʿmah
ra'mases, raʿmases
ra'mowth, raʿmowth
ra'uw, raʿuw
ra'uwben, raʿuwben
ra'y, raʿy
ra'ym, raʿym
rea', reaʿ
reba', rebaʿ
rega', regaʿ
repha'ym, rephaʿym
resha', reshaʿ
re'sh, reʿsh
re'shown, reʿshown
re'shyth, reʿshyth
re'syth, reʿsyth
ribowa', ribowaʿ
ribow', ribowʿ
riph'uwth, riphʿuwth
risha'ah, rishaʿah
ri'shah, riʿshah
ri'shown, riʿshown
roa', roaʿ
ro'sh, roʿsh
ro'shy, roʿshy
ruwa', ruwaʿ
ry'ach, ryʿach
saba', sabaʿ
saba'ah, sabaʿah
sab'ah, sabʿah
sagyi', sagyiʿ
sai'phym, saiʿphym
sama'l, samaʿl
sama'ly, samaʿly
samow'el, samowʿel
samow'l, samowʿl
samo'l, samoʿl
sana', sanaʿ
sane', saneʿ
sa'ad, saʿad
sa'ahym, saʿahym
sa'an, saʿan
sa'aph, saʿaph
sa'ar, saʿar
sa'arah, saʿarah
sa'eth, saʿeth
sa'or, saʿor
sa'orah, saʿorah
sa'own, saʿown
sa'yph, saʿyph
sa'yr, saʿyr
sela', selaʿ
se'ah, seʿah
se'ar, seʿar
se'eph, seʿeph
se'er, seʿer
se'iyr, seʿiyr
se'or, seʿor
se'yr, seʿyr
shaba', shabaʿ
shabiy'iy, shabiyʿiy
shabi'ym, shabiʿym
shabuwa', shabuwaʿ
shabuwa'ym, shabuwaʿym
shabuw'ah, shabuwʿah
shabyi'y, shabyiʿy
shaby'iy, shabyʿiy
shaby'y, shabyʿy
shaga', shagaʿ
shagya'ah, shagyaʿah
shakal'ath, shakalʿath
shama', shamaʿ
shamuwa'ah, shamuwaʿah
shamuw'ah, shamuwʿah
shamuw'el, shamuwʿel
shana', shanaʿ
shaqa', shaqaʿ
shar'ar, sharʿar
shatha', shathaʿ
shav', shavʿ
shawa', shawaʿ
shaw'ah, shawʿah
sha', shaʿ
sha'ag, shaʿag
sha'agah, shaʿagah
sha'ah, shaʿah
sha'al, shaʿal
sha'alty'el, shaʿaltyʿel
sha'al'owb, shaʿalʿowb
sha'an, shaʿan
sha'aph, shaʿaph
sha'ar, shaʿar
sha'aruwr, shaʿaruwr
sha'aruwrah, shaʿaruwrah
sha'ary, shaʿary
sha'arym, shaʿarym
sha'at, shaʿat
sha'a', shaʿaʿ
sha'eryth, shaʿeryth
sha'own, shaʿown
sha'r, shaʿr
sha'ryth, shaʿryth
sha'sha', shaʿshaʿ
sha'sha'ym, shaʿshaʿym
sha'shuwa', shaʿshuwaʿ
sha'uwl, shaʿuwl
sha'uwl's, shaʿuwlʿs
sheba', shebaʿ
sheba'ah, shebaʿah
sheba'athym, shebaʿathym
sheby'iy, shebyʿiy
shema', shemaʿ
shemuwa'ah, shemuwaʿah
shena', shenaʿ
she'owl, sheʿowl
she'own, sheʿown
shiba'ah, shibaʿah
shibi'ym, shibiʿym
shib'ath, shibʿath
shib'athaym, shibʿathaym
shib'athym, shibʿathym
shib'iym, shibʿiym
shiga'own, shigaʿown
shimi'y, shimiʿy
shim'own, shimʿown
shin'ar, shinʿar
shipha'ah, shiphaʿah
showa', showaʿ
showa'ah, showaʿah
show', showʿ
show'a, showʿa
sho'al, shoʿal
shuwa', shuwaʿ
shuwa'al, shuwaʿal
sh'at, shʿat
siba'ah, sibaʿah
sina'ah, sinaʿah
sisera', siseraʿ
soba', sobaʿ
sobe', sobeʿ
sowpha', sowphaʿ
sow'er, sowʿer
strong's, strongʿs
sysara', sysaraʿ
taba', tabaʿ
taba'ath, tabaʿath
taba'el, tabaʿel
tabuw'ah, tabuwʿah
tachalu'ym, tachaluʿym
tala', talaʿ
tala'ym, talaʿym
tal'ubowt, talʿubowt
tame', tameʿ
taqa', taqaʿ
taqowa', taqowaʿ
tara', taraʿ
taruwa'ah, taruwaʿah
taruw'ah, taruwʿah
tar'elah, tarʿelah
tashuwa'ah, tashuwaʿah
tashuw'ah, tashuwʿah
tashu'ah, tashuʿah
tashy'iy, tashyʿiy
ta', taʿ
ta'ab, taʿab
ta'ah, taʿah
ta'alah, taʿalah
ta'aluwl, taʿaluwl
ta'am, taʿam
ta'an, taʿan
ta'ar, taʿar
ta'ashar, taʿashar
ta'awah, taʿawah
ta'enah, taʿenah
ta'nyah, taʿnyah
ta'owth, taʿowth
ta'unym, taʿunym
ta'uwah, taʿuwah
ta'uwdah, taʿuwdah
ta'ym, taʿym
tesha', teshaʿ
tesha'ym, teshaʿym
thesha', theshaʿ
tiba'el, tibaʿel
tipha'rath, tiphaʿrath
tiphe'reth, tipheʿreth
tiph'arah, tiphʿarah
tiph'areth, tiphʿareth
tiph'arth, tiphʿarth
tiph'ereth, tiphʿereth
tiph'erth, tiphʿerth
tip'eret, tipʿeret
tish'iym, tishʿiym
towe'bah, toweʿbah
towla'ah, towlaʿah
towla'ch, towlaʿch
towle'ah, towleʿah
towrah's, towrahʿs
towta'photh, towtaʿphoth
towtsa'owth, towtsaʿowth
tow'ah, towʿah
tow'eah, towʿeah
tow'ebah, towʿebah
to'ar, toʿar
tsaba', tsabaʿ
tsabo'ym, tsaboʿym
tsalmuna', tsalmunaʿ
tsama', tsamaʿ
tsame', tsameʿ
tsapha', tsaphaʿ
tsara', tsaraʿ
tsara'ath, tsaraʿath
tsawa'r, tsawaʿr
tsa'ad, tsaʿad
tsa'ah, tsaʿah
tsa'aq, tsaʿaq
tsa'aqah, tsaʿaqah
tsa'ar, tsaʿar
tsa'dah, tsaʿdah
tsa'yr, tsaʿyr
tseba', tsebaʿ
tsela', tselaʿ
tsela'owth, tselaʿowth
tsepha', tsephaʿ
tse'ah, tseʿah
tse'aqah, tseʿaqah
tsiph'ony, tsiphʿony
tsira', tsiraʿ
tsow'iym, tsowʿiym
tso'ah, tsoʿah
tso'an, tsoʿan
tso'ar, tsoʿar
tso'n, tsoʿn
tsuw'ar, tsuwʿar
ts'ayr, tsʿayr
ts'on, tsʿon
tuma'ah, tumaʿah
wa'eth, waʿeth
yachezq'el, yachezqʿel
yada'ony, yadaʿony
yada's, yadaʿs
yada'yah, yadaʿyah
yaga', yagaʿ
yagya', yagyaʿ
yahowsha', yahowshaʿ
yahowshuwa', yahowshuwaʿ
yahow'ash, yahowʿash
yahuw', yahuwʿ
yahuw'ash, yahuwʿash
yala', yalaʿ
yarab'am, yarabʿam
yara', yaraʿ
yarob'am, yarobʿam
yarob'am, yarobʿam
yarya'ah, yaryaʿah
yar'ah, yarʿah
yasha', yashaʿ
yasha'yah, yashaʿyah
yasha'yahuw, yashaʿyahuw
yashuwa'ah, yashuwaʿah
yashuw'ah, yashuwʿah
yasta', yastaʿ
yatsa', yatsaʿ
ya}howsha', ya}howshaʿ
ya'ab, yaʿab
ya'ad, yaʿad
ya'an, yaʿan
ya'anah, yaʿanah
ya'aph, yaʿaph
ya'aqob, yaʿaqob
ya'ar, yaʿar
ya'arym, yaʿarym
ya'as, yaʿas
ya'ath, yaʿath
ya'ats, yaʿats
ya'ay, yaʿay
ya'az, yaʿaz
ya'azanyah, yaʿazanyah
ya'azyr, yaʿazyr
ya'el, yaʿel
ya'eph, yaʿeph
ya'or, yaʿor
ya'ory, yaʿory
ya'orym, yaʿorym
yba'al, ybaʿal
yegya', yegyaʿ
yesha', yeshaʿ
yeshuwa'ah, yeshuwaʿah
yeza', yezaʿ
ye'or, yeʿor
yida'ony, yidaʿony
yira'ah, yiraʿah
yira'th, yiraʿth
yirma'yah, yirmaʿyah
yirma'yahuw, yirmaʿyahuw
yir'ah, yirʿah
yisra'el, yisraʿel
yophya', yophyaʿ
yowe'ts, yoweʿts
yow'ab, yowʿab
yow'ash, yowʿash
yow'el, yowʿel
yow'ets, yowʿets
yo'shyah, yoʿshyah
yr'ah, yrʿah
yshma''el, yshmaʿʿel
yshma''elym, yshmaʿʿelym
yzra''el, yzraʿʿel
y'athuwn, yʿathuwn
zal'aphah, zalʿaphah
zara', zaraʿ
zarowa', zarowaʿ
zarowa'owth, zarowaʿowth
za'aq, zaʿaq
za'aqah, zaʿaqah
za'awah, zaʿawah
za'eb, zaʿeb
za'ed, zaʿed
za'eyr, zaʿeyr
za'q, zaʿq
zera', zeraʿ
ze'ah, zeʿah
ze'aqah, zeʿaqah
ze'eb, zeʿeb
ze'th, zeʿth
zuwa', zuwaʿ
z'oth, zʿoth
', ʾ
'a, ʾa
'abad, ʾabad
'abadown, ʾabadown
'abah, ʾabah
'abak, ʾabak
'abal, ʾabal
'abaq, ʾabaq
'abar, ʾabar
'abarakah, ʾabarakah
'abat, ʾabat
'aba'bu'oth, ʾabaʿbuʿoth
'abed, ʾabed
'abel, ʾabel
'aben, ʾaben
'abnet, ʾabnet
'aboth, ʾaboth
'abowth, ʾabowth
'abowthym, ʾabowthym
'abraham, ʾabraham
'abraham's, ʾabrahamʿs
'abram, ʾabram
'abshalowm, ʾabshalowm
'abtyt, ʾabtyt
'abuwr, ʾabuwr
'abyah, ʾabyah
'abyb, ʾabyb
'abydah, ʾabydah
'abyhuw', ʾabyhuwʿ
'abym, ʾabym
'abymelek, ʾabymelek
'abynadab, ʾabynadab
'abyno'am, ʾabynoʿam
'abyr, ʾabyr
'abyram, ʾabyram
'aby'el, ʾabyʿel
'ab'atem, ʾabʿatem
'ach, ʾach
'achaaryth, ʾachaaryth
'achab, ʾachab
'achad, ʾachad
'achalay, ʾachalay
'achar, ʾachar
'acharown, ʾacharown
'achary, ʾachary
'acharyth, ʾacharyth
'achashwerowsh, ʾachashwerowsh
'achawah, ʾachawah
'achaz, ʾachaz
'achazyah, ʾachazyah
'acher, ʾacher
'achoran, ʾachoran
'achoranyth, ʾachoranyth
'achowr, ʾachowr
'achowth, ʾachowth
'achuwz, ʾachuwz
'achuzah, ʾachuzah
'achy, ʾachy
'ach'ab, ʾachʿab
'ach'ab, ʾachʿab
'ad, ʾad
'adah, ʾadah
'adam, ʾadam
'adamah, ʾadamah
'adamym, ʾadamym
'adan, ʾadan
'adar, ʾadar
'adash, ʾadash
'adashym, ʾadashym
'adayn, ʾadayn
'adayr, ʾadayr
'ada', ʾadaʿ
'adereth, ʾadereth
'admah, ʾadmah
'admowny, ʾadmowny
'adom, ʾadom
'adonai, ʾadonai
'adony, ʾadony
'adonym, ʾadonym
'adown, ʾadown
'adowny, ʾadowny
'ady, ʾady
'adyr, ʾadyr
'agab, ʾagab
'agalah, ʾagalah
'agam, ʾagam
'agaph, ʾagaph
'agar, ʾagar
'agmown, ʾagmown
'agol, ʾagol
'agudah, ʾagudah
'aguwr, ʾaguwr
'ahab, ʾahab
'ahabah, ʾahabah
'ahabym, ʾahabym
'ahah, ʾahah
'ahal, ʾahal
'ahalym, ʾahalym
'aharown, ʾaharown
'aharown's, ʾaharownʿs
'ahem, ʾahem
'aher, ʾaher
'ak, ʾak
'akabysh, ʾakabysh
'akad, ʾakad
'akal, ʾakal
'akar, ʾakar
'akas, ʾakas
'akbar, ʾakbar
'akel, ʾakel
'aken, ʾaken
'aklah, ʾaklah
'akzary, ʾakzary
'ala, ʾala
'alah, ʾalah
'alal, ʾalal
'alam, ʾalam
'alap, ʾalap
'alaph, ʾalaph
'alaphym, ʾalaphym
'alapym, ʾalapym
'alatah, ʾalatah
'alats, ʾalats
'alaz, ʾalaz
'ala', ʾalaʿ
'aleh, ʾaleh
'aleph, ʾaleph
'alez, ʾalez
'alken, ʾalken
'allah, ʾallah
'almah, ʾalmah
'alman, ʾalman
'almanah, ʾalmanah
'alown, ʾalown
'alownym, ʾalownym
'alph, ʾalph
'aluw, ʾaluw
'aluwl, ʾaluwl
'aluwmym, ʾaluwmym
'aluwph, ʾaluwph
'aluwqah, ʾaluwqah
'alwah, ʾalwah
'aly, ʾaly
'alyah, ʾalyah
'alyl, ʾalyl
'alylah, ʾalylah
'alylym, ʾalylym
'alyz, ʾalyz
'amad, ʾamad
'amah, ʾamah
'amahowth, ʾamahowth
'amahuwth, ʾamahuwth
'amahym, ʾamahym
'amal, ʾamal
'amaleq, ʾamaleq
'amam, ʾamam
'aman, ʾaman
'amaq, ʾamaq
'amar, ʾamar
'amats, ʾamats
'amel, ʾamel
'amen, ʾamen
'ameq, ʾameq
'amets, ʾamets
'amoq, ʾamoq
'amora, ʾamora
'amorah, ʾamorah
'amory, ʾamory
'amots, ʾamots
'amown, ʾamown
'amows, ʾamows
'amowts, ʾamowts
'amtsah, ʾamtsah
'amuwd, ʾamuwd
'amuwdym, ʾamuwdym
'amuwnah, ʾamuwnah
'amym, ʾamym
'amyr, ʾamyr
'amyth, ʾamyth
'amyts, ʾamyts
'an, ʾan
'anach, ʾanach
'anachah, ʾanachah
'anachnuw, ʾanachnuw
'anachnuw', ʾanachnuwʿ
'anad, ʾanad
'anag, ʾanag
'anah, ʾanah
'anaph, ʾanaph
'anaq, ʾanaq
'anaqah, ʾanaqah
'anash, ʾanash
'anathowth, ʾanathowth
'anaw, ʾanaw
'anawah, ʾanawah
'ana', ʾanaʿ
'aneph, ʾaneph
'aniy, ʾaniy
'anky, ʾanky
'anoky, ʾanoky
'anuwsh, ʾanuwsh
'any, ʾany
'anyah, ʾanyah
'aowen, ʾaowen
'aown, ʾaown
'apal, ʾapal
'apar, ʾapar
'apelah, ʾapelah
'aph, ʾaph
'aphah, ʾaphah
'aphal, ʾaphal
'aphar, ʾaphar
'aphden, ʾaphden
'aphelah, ʾaphelah
'apher, ʾapher
'aphes, ʾaphes
'aphyach, ʾaphyach
'aphyq, ʾaphyq
'aphyqym, ʾaphyqym
'apyq, ʾapyq
'apyqym, ʾapyqym
'aqab, ʾaqab
'aqad, ʾaqad
'aqal, ʾaqal
'aqalathown, ʾaqalathown
'aqar, ʾaqar
'aqash, ʾaqash
'aqeb, ʾaqeb
'aqob, ʾaqob
'aqrab, ʾaqrab
'arab, ʾarab
'araba, ʾaraba
'arabah, ʾarabah
'araba', ʾarabaʿ
'araba'ym, ʾarabaʿym
'araba'yowm, ʾarabaʿyowm
'arag, ʾarag
'arah, ʾarah
'arak, ʾarak
'aralah, ʾaralah
'aram, ʾaram
'aramy, ʾaramy
'araph, ʾaraph
'araphel, ʾaraphel
'ararat, ʾararat
'arats, ʾarats
'arawnah, ʾarawnah
'araz, ʾaraz
'ara', ʾaraʿ
'arba, ʾarba
'arba', ʾarbaʿ
'arba'ah, ʾarbaʿah
'arba'iym, ʾarbaʿiym
'arba'ym, ʾarbaʿym
'arbeh, ʾarbeh
'arbe'l, ʾarbeʿl
'arek, ʾarek
'arel, ʾarel
'aresheth, ʾaresheth
'arez, ʾarez
'argaman, ʾargaman
'arkah, ʾarkah
'arlah, ʾarlah
'armown, ʾarmown
'arnown, ʾarnown
'arok, ʾarok
'arowm, ʾarowm
'arown, ʾarown
'arow'er, ʾarowʿer
'arpad, ʾarpad
'arphah, ʾarphah
'arubah, ʾarubah
'arukah, ʾarukah
'aruw, ʾaruw
'aruwgah, ʾaruwgah
'aruwkah, ʾaruwkah
'aruwm, ʾaruwm
'aruw'el, ʾaruwʿel
'arwad, ʾarwad
'aryah, ʾaryah
'aryeh, ʾaryeh
'aryph, ʾaryph
'aryry, ʾaryry
'arysah, ʾarysah
'aryts, ʾaryts
'ary'el, ʾaryʿel
'asah, ʾasah
'asaph, ʾasaph
'asaphsuph, ʾasaphsuph
'asaq, ʾasaq
'asar, ʾasar
'asarah, ʾasarah
'asas, ʾasas
'asel, ʾasel
'asen, ʾasen
'asereh, ʾasereh
'aseret, ʾaseret
'asereth, ʾasereth
'asham, ʾasham
'ashamuwrah, ʾashamuwrah
'ashan, ʾashan
'ashaq, ʾashaq
'ashar, ʾashar
'ashash, ʾashash
'ashdowd, ʾashdowd
'asher, ʾasher
'asherah, ʾasherah
'asherahym, ʾasherahym
'ashery, ʾashery
'ashmah, ʾashmah
'ashmuwrah, ʾashmuwrah
'ashowth, ʾashowth
'ashphoth, ʾashphoth
'ashpoth, ʾashpoth
'ashqalown, ʾashqalown
'ashrahym, ʾashrahym
'ashreth, ʾashreth
'ashry, ʾashry
'ashshuwr, ʾashshuwr
'ashtarah, ʾashtarah
'ashtart, ʾashtart
'ashtey, ʾashtey
'ashur, ʾashur
'ashurym, ʾashurym
'ashuwr, ʾashuwr
'ashysh, ʾashysh
'ashyshah, ʾashyshah
'asowr, ʾasowr
'asry, ʾasry
'asyph, ʾasyph
'asyr, ʾasyr
'asyry, ʾasyry
'at, ʾat
'ata, ʾata
'atah, ʾatah
'atahnuw, ʾatahnuw
'ataleph, ʾataleph
'atam, ʾatam
'ataph, ʾataph
'ataq, ʾataq
'atar, ʾatar
'atarah, ʾatarah
'atem, ʾatem
'aten, ʾaten
'ath, ʾath
'athah, ʾathah
'athaq, ʾathaq
'athar, ʾathar
'athuwd, ʾathuwd
'athuwn, ʾathuwn
'athyd, ʾathyd
'athyq, ʾathyq
'atown, ʾatown
'atsab, ʾatsab
'atsah, ʾatsah
'atsal, ʾatsal
'atsam, ʾatsam
'atsar, ʾatsar
'atsarah, ʾatsarah
'atsebeth, ʾatsebeth
'atsumowth, ʾatsumowth
'atsuwm, ʾatsuwm
'atsyl, ʾatsyl
'attah, ʾattah
'atuwd, ʾatuwd
'atuwq, ʾatuwq
'atyd, ʾatyd
