Fixed Word                               Original Word                  File                                                              Page   Method
dimaʿah                                  dima’ah                        YY-s04v04-Coming Home-Basar-Herald.docx                           456    hebrew-pattern
gabyaʿ                                   gabya’                         YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   374    hebrew-pattern
garyʾ                                    gary’                          YY-s02v07-Yada Yahowah-Shanah-Years.docx                          281    heuristic
gaʾaown                                  ga’aown                        YY-s03v01-Observations-Perspective.docx                           574    hebrew-pattern
gaʾaul                                   ga’aul                         YY-s04v04-Coming Home-Basar-Herald.docx                           280    hebrew-pattern
gaʾawah                                  ga’awah                        YY-s03v04-Observations-Teaching.docx                              273    hebrew-pattern
gaʿuwlym                                 ga’uwlym                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     heuristic
Gaʾuwʾel                                 Ga’uwʾel                       YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           428    hebrew-pattern
gebeʾ                                    gebe’                          YY-s05v03-Babel-Chemah-Venomous.docx                              455    blb
Geseniusʾ                                Gesenius’                      YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     heuristic
geʾuwth                                  ge’uwth                        YY-s04v04-Coming Home-Basar-Herald.docx                           507    hebrew-pattern
Gibaʿtah                                 Giba’tah                       YY-s03v05-Observations-Understanding.docx                         193    heuristic
Gidiʿown                                 Gidi’own                       YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           149    hebrew-pattern
haʿolam                                  ha'olam                        YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     388    heuristic
HaShemʿs                                 HaShem’s                       YY-s04v02-Coming Home-Mashyach-Messiah.docx                       135    heuristic
Haʿerets                                 Ha‘erets                       YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                284    heuristic
haʿerets                                 ha‘erets                       YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                285    heuristic
heʾach!                                  he’ach!                        YY-s05v03-Babel-Chemah-Venomous.docx                              208    hebrew-pattern
huwʾ                                     huw’                           YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  19     hebrew-pattern
Huwʾ                                     Huw’                           YY-s04v04-Coming Home-Basar-Herald.docx                           141    hebrew-pattern
huwʾ                                     huw’                           YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  29     hebrew-pattern
huwʿʾ                                    huw’’                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  88     heuristic
huʿw                                     hu’w                           YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           482    heuristic
hyʾ                                      hy’                            YY-s04v04-Coming Home-Basar-Herald.docx                           30     hebrew-pattern
hyʿʾ                                     hy’’                           YY-s04v04-Coming Home-Basar-Herald.docx                           108    heuristic
Ithobaʿal                                Ithoba’al                      YY-s05v03-Babel-Chemah-Venomous.docx                              46     heuristic
Kanaʿnite                                Kana’nite                      YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  392    heuristic
kaʾ                                      ka’                            YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   52     heuristic
Kephasʾ                                  Kephas’                        YY-s06v01-Twistianity-Appalling.docx                              323    heuristic
kidʿshanu                                kid'shanu                      YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     388    heuristic
kiseʾ                                    kise’                          YY-s04v04-Coming Home-Basar-Herald.docx                           561    hebrew-pattern
kiseʿowthm                               kise’owthm                     YY-s05v03-Babel-Chemah-Venomous.docx                              14     heuristic
koʾah                                    ko’ah                          YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           451    hebrew-pattern
kyʾ                                      ky’                            YY-s06v03-Twistianity-Devils Advocate.docx                        1      heuristic
lʿhadlik                                 l'hadlik                       YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     388    heuristic
Lamaʿan                                  Lama’an                        YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     heuristic
lamaʿan                                  lama’an                        YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           626    heuristic
laʾah                                    la’ah                          YY-s03v03-Observations-Growing.docx                               407    hebrew-pattern
laʿaz                                    la’az                          YY-s04v03-Coming Home-Dowd-Beloved.docx                           327    blb
Laʿllanot                                La’llanot                      YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     heuristic
Loʾ-‘Ammi                                Loʾ-‘Ammi                      YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     349    blb
Loʾ                                      Lo’                            YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  411    blb
loʾ                                      lo’                            YY-s04v04-Coming Home-Basar-Herald.docx                           11     blb
loʿʾ                                     lo’’                           YY-s04v04-Coming Home-Basar-Herald.docx                           234    heuristic
LʿChayim                                 L’Chayim                       YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     387    heuristic
Maʿaseyah                                Ma'aseyah                      YY-s04v02-Coming Home-Mashyach-Messiah.docx                       424    heuristic
mah-raʾah                                mah-ra’ah                      YY-s05v02-Babel-Tow'ebah-Abominable.docx                          12     hebrew-pattern
makoʾb                                   mako’b                         YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           623    hebrew-pattern
malaʾ                                    mala’                          YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     491    blb
Malaʾakah                                Mala’akah                      YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   275    hebrew-pattern
Malaʾkah                                 Mala’kah                       YY-s01v02-An Intro to God-Mitswah-Instructions.docx               46     hebrew-pattern
malaʾkah                                 mala’kah                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
maleʾ                                    male’                          YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     306    blb
Malʾak                                   Mal’ak                         YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      172    blb
malʾak                                   mal’ak                         YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           514    blb
Malʾakah                                 Mal’akah                       YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           537    hebrew-pattern
malʾek                                   mal’ek                         YY-s05v02-Babel-Tow'ebah-Abominable.docx                          17     hebrew-pattern
Maraʾah                                  Mara’ah                        YY-s05v02-Babel-Tow'ebah-Abominable.docx                          97     hebrew-pattern
marpehʾ                                  marpeh’                        YY-s03v05-Observations-Understanding.docx                         529    heuristic
marpeʾ                                   marpe’                         YY-s03v01-Observations-Perspective.docx                           68     blb
maryʾa                                   mary’a                         YY-s03v04-Observations-Teaching.docx                              321    hebrew-pattern
masaʾ                                    masa’                          YY-s04v04-Coming Home-Basar-Herald.docx                           125    blb
Masaʾ                                    Masa’                          YY-s04v04-Coming Home-Basar-Herald.docx                           125    blb
matsaʾ                                   matsa’                         YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           371    hebrew-pattern
maʿalahowth                              ma’alahowth                    YY-s05v03-Babel-Chemah-Venomous.docx                              328    heuristic
maʿalal                                  ma’alal                        YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     496    blb
maʿamasah                                ma’amasah                      YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   146    hebrew-pattern
maʿan                                    ma’an                          YY-s06v03-Twistianity-Devils Advocate.docx                        1      blb
maʾarab                                  ma’arab                        YY-s05v03-Babel-Chemah-Venomous.docx                              41     hebrew-pattern
maʿaseh                                  ma’aseh                        YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  411    heuristic
Maʿasehyah                               Ma’asehyah                     YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   426    heuristic
Maʿaseyah                                Ma’aseyah                      YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     heuristic
maʿat                                    ma’at                          YY-s03v04-Observations-Teaching.docx                              245    blb
maʾerah                                  ma’erah                        YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   256    hebrew-pattern
maʾod                                    ma’od                          YY-s04v04-Coming Home-Basar-Herald.docx                           230    hebrew-pattern
maʿodʿ                                   ma’od’                         YY-s04v04-Coming Home-Basar-Herald.docx                           162    heuristic
Maʿowoth                                 Ma’owoth                       YY-s04v04-Coming Home-Basar-Herald.docx                           5      heuristic
Maʿowroth                                Ma’owroth                      YY-s04v04-Coming Home-Basar-Herald.docx                           5      heuristic
maʿowz                                   ma’owz                         YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     389    hebrew-pattern
maʾuwmah                                 ma’uwmah                       YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   323    hebrew-pattern
maʿuwman                                 ma’uwman                       YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   323    heuristic
meloʾ                                    melo’                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  111    hebrew-pattern
Mereaʿ                                   Merea’                         YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                347    blb
meryaʾ                                   merya’                         YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     293    hebrew-pattern
meʾah                                    me’ah                          YY-s01v02-An Intro to God-Mitswah-Instructions.docx               169    hebrew-pattern
meʿahym                                  me’ahym                        YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           75     heuristic
meʿiym                                   me’iym                         YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   84     heuristic
meʾod                                    me’od                          YY-s01v02-An Intro to God-Mitswah-Instructions.docx               445    hebrew-pattern
meʿowah                                  me’owah                        YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           83     heuristic
miphaʿal                                 mipha’al                       YY-s04v04-Coming Home-Basar-Herald.docx                           281    hebrew-pattern
miqlaʿath                                miqla’ath                      YY-s01v02-An Intro to God-Mitswah-Instructions.docx               22     hebrew-pattern
miqraʾ                                   miqra’                         YY-s03v05-Observations-Understanding.docx                         132    blb
Miqraʿey                                 Miqra’ey                       YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                170    heuristic
miqtsowaʿ                                miqtsowa’                      YY-s05v03-Babel-Chemah-Venomous.docx                              447    hebrew-pattern
misheʿnet                                mishe’net                      YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           541    heuristic
mishmaʿ                                  mishma’                        YY-s01v02-An Intro to God-Mitswah-Instructions.docx               514    hebrew-pattern
Mishʿen                                  Mish’en                        YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                347    hebrew-pattern
mishʿen                                  mish’en                        YY-s02v07-Yada Yahowah-Shanah-Years.docx                          195    hebrew-pattern
mishʿenach                               mish’enach                     YY-s04v03-Coming Home-Dowd-Beloved.docx                           373    heuristic
Mishʿiy                                  Mish’iy                        YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                347    hebrew-pattern
Mishʿowl                                 Mish’owl                       YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                347    hebrew-pattern
mitsraʾ                                  mitsra’                        YY-s01v02-An Intro to God-Mitswah-Instructions.docx               328    heuristic
Mitsraʾ                                  Mitsra’                        YY-s03v01-Observations-Perspective.docx                           185    heuristic
mizʿar                                   miz’ar                         YY-s03v04-Observations-Teaching.docx                              245    blb
moraʾ                                    mora’                          YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   239    blb
mowaʿday                                 mowa’day                       YY-s03v04-Observations-Teaching.docx                              496    heuristic
Mowaʿday                                 Mowa’day                       YY-s03v04-Observations-Teaching.docx                              498    heuristic
mowtsaʾah                                mowtsa’ah                      YY-s04v02-Coming Home-Mashyach-Messiah.docx                       88     hebrew-pattern
Mowʾab                                   Mow’ab                         YY-s03v05-Observations-Understanding.docx                         196    hebrew-pattern
Mowʿed                                   Mow’ed                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               179    hebrew-pattern
Murabaʿat                                Muraba’at                      YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      461    heuristic
mutaʾa                                   muta’a                         YY-s03v01-Observations-Perspective.docx                           111    hebrew-pattern
muwʿaph                                  muw’aph                        YY-s02v07-Yada Yahowah-Shanah-Years.docx                          526    hebrew-pattern
myʾ                                      my’                            YY-s02v07-Yada Yahowah-Shanah-Years.docx                          188    heuristic
n-ʾanah-ythy                             n-‘anah-ythy                   YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     152    blb
nabyʾ                                    naby’                          YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     469    hebrew-pattern
Nabyʾ                                    Naby’                          YY-s04v04-Coming Home-Basar-Herald.docx                           269    hebrew-pattern
nagaʿ                                    naga’                          YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           162    blb
nasaʿ                                    nasa’                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  411    blb
nataʿ                                    nata’                          YY-s03v05-Observations-Understanding.docx                         339    blb
naʾ                                      na’                            YY-s01v02-An Intro to God-Mitswah-Instructions.docx               267    blb
naʾaphuwphym                             na’aphuwphym                   YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                87     hebrew-pattern
naʾar                                    na’ar                          YY-s04v04-Coming Home-Basar-Herald.docx                           396    blb
naʿarah                                  na’arah                        YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  19     hebrew-pattern
naʾqah                                   na’qah                         YY-s05v03-Babel-Chemah-Venomous.docx                              98     hebrew-pattern
naʿurym                                  na’urym                        YY-s05v02-Babel-Tow'ebah-Abominable.docx                          368    heuristic
negaʿ                                    nega’                          YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           623    blb
neshamah-ʾadam                           neshamah-‘adam                 YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                186    blb
Nesʿ                                     Nes’                           YY-s03v05-Observations-Understanding.docx                         478    hebrew-pattern
Nevisʿ                                   Nevis’                         YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                281    heuristic
nʾm                                      n’m                            YY-s03v05-Observations-Understanding.docx                         339    hebrew-pattern
pagaʿ                                    paga’                          YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     blb
Paluwʾ                                   Paluw’                         YY-s05v03-Babel-Chemah-Venomous.docx                              268    hebrew-pattern
Paraʾ                                    Para’                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       35     blb
paraʾ                                    para’                          YY-s03v05-Observations-Understanding.docx                         322    blb
paʾ                                      pa’                            YY-s01v02-An Intro to God-Mitswah-Instructions.docx               222    heuristic
paʾah                                    pa’ah                          YY-s01v02-An Intro to God-Mitswah-Instructions.docx               222    hebrew-pattern
paʿal                                    pa’al                          YY-s04v03-Coming Home-Dowd-Beloved.docx                           44     blb
paʾorah                                  pa’orah                        YY-s03v04-Observations-Teaching.docx                              262    hebrew-pattern
Paʿowr                                   Pa’owr                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               221    hebrew-pattern
Paʿowr                                   Pa’owr                         YY-s06v03-Twistianity-Devils Advocate.docx                        1      hebrew-pattern
peʿoth                                   pe’oth                         YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     428    heuristic
Pharʿoah                                 Phar’oah                       YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     390    hebrew-pattern
Philaʾy                                  Phila’y                        YY-s04v04-Coming Home-Basar-Herald.docx                           397    hebrew-pattern
phoʾrah                                  pho’rah                        YY-s05v03-Babel-Chemah-Venomous.docx                              111    hebrew-pattern
pitoʾm                                   pito’m                         YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     400    hebrew-pattern
qabaʿ                                    qaba’                          YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   295    blb
Qaraʾ                                    Qara'                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       17     blb
qaraʾ                                    qara’                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  411    blb
Qaraʾ                                    Qara’                          YY-s04v04-Coming Home-Basar-Herald.docx                           78     blb
qishuʿahym                               qishu’ahym                     YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           363    heuristic
Quʿils                                   Qu’ils                         YY-s04v01-Coming Home-Qowl-A Voice.docx                           38     heuristic
Rachabʿam                                Rachab’am                      YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ragaʿ                                    raga’                          YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     451    blb
Rahyaʿym                                 Rahya’ym                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     heuristic
Raphaʾym                                 Rapha’ym                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
raphqʿym                                 raphq’ym                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     heuristic
Raphuwʾ                                  Raphuw’                        YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           428    hebrew-pattern
rashaʿ                                   rasha’                         YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  24     hebrew-pattern
rashʿachy                                rash’achy                      YY-s02v07-Yada Yahowah-Shanah-Years.docx                          196    heuristic
raʾ                                      ra’                            YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     171    spelling
raʾ                                      ra’                            YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   253    spelling
raʾah                                    ra’ah                          YY-s01v02-An Intro to God-Mitswah-Instructions.docx               240    hebrew-pattern
raʿahym                                  ra’ahym                        YY-s04v02-Coming Home-Mashyach-Messiah.docx                       91     heuristic
raʿanan                                  ra’anan                        YY-s04v04-Coming Home-Basar-Herald.docx                           182    blb
raʾawah                                  ra’awah                        YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                131    hebrew-pattern
raʿaʿ                                    ra’a’                          YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     489    blb
Raʾem                                    Ra’em                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  332    hebrew-pattern
Raʾuwben                                 Ra’uwben                       YY-s05v03-Babel-Chemah-Venomous.docx                              474    hebrew-pattern
raʿuwth                                  ra’uwth                        YY-s04v04-Coming Home-Basar-Herald.docx                           348    hebrew-pattern
Raʾyah                                   Ra’yah                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               302    hebrew-pattern
reaʿ                                     rea’                           YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     480    blb
rebaʿ                                    reba’                          YY-s05v03-Babel-Chemah-Venomous.docx                              388    blb
regaʿ                                    rega’                          YY-s05v03-Babel-Chemah-Venomous.docx                              122    blb
reʾsh                                    re’sh                          YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           21     hebrew-pattern
reʾsit                                   re’sit                         YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     blb
reʿsith                                  re’sith                        YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     heuristic
reʿsiyth                                 re’siyth                       YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     heuristic
ribeaʿ                                   ribea’                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               18     blb
ribeʿ                                    ribe’                          YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           451    hebrew-pattern
riʾshown                                 ri’shown                       YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  74     hebrew-pattern
roʾeh                                    ro’eh                          YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     394    hebrew-pattern
roʾsh                                    ro’sh                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  306    hebrew-pattern
roʾshah                                  ro’shah                        YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   115    hebrew-pattern
roʾwh                                    ro’wh                          YY-s05v02-Babel-Tow'ebah-Abominable.docx                          29     hebrew-pattern
roʾy                                     ro’y                           YY-s01v02-An Intro to God-Mitswah-Instructions.docx               302    hebrew-pattern
ruʿba                                    ru’ba                          YY-s03v05-Observations-Understanding.docx                         104    hebrew-pattern
sabaʾ                                    saba’                          YY-s04v04-Coming Home-Basar-Herald.docx                           162    blb
Sabuwʿah                                 Sabuw’ah                       YY-s04v04-Coming Home-Basar-Herald.docx                           219    heuristic
samaʿowl                                 sama’owl                       YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   151    heuristic
saraʿphah                                sara’phah                      YY-s05v03-Babel-Chemah-Venomous.docx                              104    hebrew-pattern
saʿaphah                                 sa’aphah                       YY-s05v03-Babel-Chemah-Venomous.docx                              107    hebrew-pattern
saʿorah                                  sa’orah                        YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     heuristic
saʿruwr                                  sa’ruwr                        YY-s03v03-Observations-Growing.docx                               211    heuristic
selaʿ                                    sela’                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     blb
selaʿ                                    sela’                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     blb
semoʿl                                   semo’l                         YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   103    heuristic
seʿor                                    se’or                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  400    hebrew-pattern
shabaʾ                                   shaba’                         YY-s04v04-Coming Home-Basar-Herald.docx                           231    hebrew-pattern
shabuwaʿ                                 shabuwa’                       YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
Shabuwaʿ                                 Shabuwa’                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
shabuwaʿym                               shabuwa’ym                     YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     heuristic
Shabuwʿah                                Shabuw’ah                      YY-s03v01-Observations-Perspective.docx                           340    hebrew-pattern
shamaʾ                                   shama’                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               72     hebrew-pattern
Shamaʿyah                                Shama’yah                      YY-s05v03-Babel-Chemah-Venomous.docx                              268    hebrew-pattern
Shamuwaʿ                                 Shamuwa’                       YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           427    hebrew-pattern
shanaʿym                                 shana’ym                       YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   190    heuristic
shashaʾ                                  shasha’                        YY-s05v03-Babel-Chemah-Venomous.docx                              295    hebrew-pattern
