Original, Converted (Definition-Refined)
'akzary, ʾakzary
'al, ʾal
'ala, ʾala
'ala', ʾalaʿ
'alah, ʾalah
'alal, ʾalal
'alam, ʾalam
'alap, ʾalap
'alaph, ʾalaph
'alaphym, ʾalaphym
'alapym, ʾalapym
'alas, ʾalas
'alatah, ʾalatah
'alats, ʾalats
'alaz, ʾalaz
'aleh, ʾaleh
'aleph, ʾaleph
'alez, ʾalez
'alken, ʾalken
'allah, ʾallah
'almah, ʾalmah
'alman, ʾalman
'almanah, ʾalmanah
'alown, ʾalown
'alownym, ʾalownym
'alph, ʾalph
'aluw, ʾaluw
'aluwl, ʾaluwl
'aluwmym, ʾaluwmym
'aluwph, ʾaluwph
'aluwqah, ʾaluwqah
'alwah, ʾalwah
'aly, ʾaly
'alyah, ʾalyah
'alyl, ʾalyl
'alylah, ʾalylah
'alylym, ʾalylym
'alyz, ʾalyz
'am, ʾam
'amad, ʾamad
'amah, ʾamah
'amahowth, ʾamahowth
'amahuwth, ʾamahuwth
'amahym, ʾamahym
'amal, ʾamal
'amaleq, ʾamaleq
'amam, ʾamam
'aman, ʾaman
'amaq, ʾamaq
'amar, ʾamar
'amats, ʾamats
'amel, ʾamel
'amen, ʾamen
'ameq, ʾameq
'amets, ʾamets
'amoq, ʾamoq
'amora, ʾamora
'amorah, ʾamorah
'amory, ʾamory
'amots, ʾamots
'amown, ʾamown
'amows, ʾamows
'amowts, ʾamowts
'amtsah, ʾamtsah
'amuwd, ʾamuwd
'amuwdym, ʾamuwdym
'amuwnah, ʾamuwnah
'amy, ʾamy
'amym, ʾamym
'amyr, ʾamyr
'amyts, ʾamyts
'an, ʾan
'ana', ʾanaʿ
'anach, ʾanach
'anachah, ʾanachah
'anachnuw, ʾanachnuw
'anachnuw', ʾanachnuwʿ
'anad, ʾanad
'anag, ʾanag
'anah, ʾanah
'anan, ʾanan
'anaph, ʾanaph
'anaq, ʾanaq
'anaqah, ʾanaqah
'anash, ʾanash
'anathowth, ʾanathowth
'anaw, ʾanaw
'anawah, ʾanawah
'aneph, ʾaneph
'aniy, ʾaniy
'anky, ʾanky
'anoky, ʾanoky
'anuwsh, ʾanuwsh
'any, ʾany
'anyah, ʾanyah
'aowen, ʾaowen
'aown, ʾaown
'ap, ʾap
'apal, ʾapal
'apar, ʾapar
'apelah, ʾapelah
'aph, ʾaph
'aphah, ʾaphah
'aphal, ʾaphal
'aphar, ʾaphar
'aphden, ʾaphden
'aphelah, ʾaphelah
'apher, ʾapher
'aphes, ʾaphes
'aphyach, ʾaphyach
'aphyq, ʾaphyq
'aphyqym, ʾaphyqym
'apyq, ʾapyq
'apyqym, ʾapyqym
'aqab, ʾaqab
'aqad, ʾaqad
'aqal, ʾaqal
'aqalathown, ʾaqalathown
'aqar, ʾaqar
'aqash, ʾaqash
'aqeb, ʾaqeb
'aqob, ʾaqob
'aqrab, ʾaqrab
'ar, ʾar
'ara', ʾaraʿ
'arab, ʾarab
'araba, ʾaraba
'araba', ʾarabaʿ
'araba'ym, ʾarabaʿym
'araba'yowm, ʾarabaʿyowm
'arabah, ʾarabah
'arag, ʾarag
'arah, ʾarah
'arak, ʾarak
'aralah, ʾaralah
'aram, ʾaram
'aramy, ʾaramy
'araph, ʾaraph
'araphel, ʾaraphel
'arar, ʾarar
'ararat, ʾararat
'arats, ʾarats
'arawnah, ʾarawnah
'araz, ʾaraz
'arba, ʾarba
'arba', ʾarbaʿ
'arba'ah, ʾarbaʿah
'arba'iym, ʾarbaʿiym
'arba'ym, ʾarbaʿym
'arbe'l, ʾarbeʿl
'arbeh, ʾarbeh
'arek, ʾarek
'arel, ʾarel
'aresheth, ʾaresheth
'arez, ʾarez
'argaman, ʾargaman
'arkah, ʾarkah
'arlah, ʾarlah
'armown, ʾarmown
'arnown, ʾarnown
'arok, ʾarok
'arow'er, ʾarowʿer
'arowm, ʾarowm
'arown, ʾarown
'arpad, ʾarpad
'arphah, ʾarphah
'arubah, ʾarubah
'arukah, ʾarukah
'aruw, ʾaruw
'aruw'el, ʾaruwʿel
'aruwgah, ʾaruwgah
'aruwkah, ʾaruwkah
'aruwm, ʾaruwm
'arwad, ʾarwad
'ary, ʾary
'ary'el, ʾaryʿel
'aryah, ʾaryah
'aryeh, ʾaryeh
'aryph, ʾaryph
'aryry, ʾaryry
'arysah, ʾarysah
'aryts, ʾaryts
'as, ʾas
'asah, ʾasah
'asap, ʾasap
'asaph, ʾasaph
'asaphsuph, ʾasaphsuph
'asaq, ʾasaq
'asar, ʾasar
'asarah, ʾasarah
'asas, ʾasas
'asel, ʾasel
'asen, ʾasen
'asereh, ʾasereh
'aseret, ʾaseret
'asereth, ʾasereth
'asham, ʾasham
'ashamuwrah, ʾashamuwrah
'ashan, ʾashan
'ashaq, ʾashaq
'ashar, ʾashar
'ashash, ʾashash
'ashdowd, ʾashdowd
'asher, ʾasher
'asherah, ʾasherah
'asherahym, ʾasherahym
'ashery, ʾashery
'ashmuwrah, ʾashmuwrah
'ashowth, ʾashowth
'ashphoth, ʾashphoth
'ashpoth, ʾashpoth
'ashqalown, ʾashqalown
'ashrahym, ʾashrahym
'ashreth, ʾashreth
'ashry, ʾashry
'ashshuwr, ʾashshuwr
'ashtarah, ʾashtarah
'ashtart, ʾashtart
'ashtey, ʾashtey
'ashur, ʾashur
'ashurym, ʾashurym
'ashuwr, ʾashuwr
'ashysh, ʾashysh
'ashyshah, ʾashyshah
'asowr, ʾasowr
'asry, ʾasry
'asyph, ʾasyph
'asyr, ʾasyr
'asyry, ʾasyry
'at, ʾat
'ata, ʾata
'atah, ʾatah
'atahnuw, ʾatahnuw
'ataleph, ʾataleph
'atam, ʾatam
'ataph, ʾataph
'ataq, ʾataq
'atar, ʾatar
'atarah, ʾatarah
'atem, ʾatem
'aten, ʾaten
'ath, ʾath
'athah, ʾathah
'athaq, ʾathaq
'athar, ʾathar
'athuwd, ʾathuwd
'athuwn, ʾathuwn
'athyd, ʾathyd
'athyq, ʾathyq
'atown, ʾatown
'atsab, ʾatsab
'atsah, ʾatsah
'atsal, ʾatsal
'atsam, ʾatsam
'atsar, ʾatsar
'atsarah, ʾatsarah
'atsebeth, ʾatsebeth
'atsumowth, ʾatsumowth
'atsuwm, ʾatsuwm
'atsyl, ʾatsyl
'attah, ʾattah
'atuwd, ʾatuwd
'atuwq, ʾatuwq
'atyd, ʾatyd
'atyq, ʾatyq
'aven, ʾaven
'avon, ʾavon
'awah, ʾawah
'awal, ʾawal
'awar, ʾawar
'awat, ʾawat
'awel, ʾawel
'awen, ʾawen
'awlah, ʾawlah
'awon, ʾawon
'awyl, ʾawyl
'ay, ʾay
'ayab, ʾayab
'ayah, ʾayah
'ayal, ʾayal
'ayalah, ʾayalah
'ayath, ʾayath
'ayeh, ʾayeh
'ayeph, ʾayeph
'ayil, ʾayil
'ayil-th, ʾayil-th
'ayin, ʾayin
'ayl, ʾayl
'aym, ʾaym
'ayn, ʾayn
'aynym, ʾaynym
'ayt, ʾayt
'ayth, ʾayth
'az, ʾaz
'azab, ʾazab
'azabown, ʾazabown
'azabownym, ʾazabownym
'azah, ʾazah
'azal, ʾazal
'azan, ʾazan
'azar, ʾazar
'azarah, ʾazarah
'azaz, ʾazaz
'azen, ʾazen
'azur, ʾazur
'azuwz, ʾazuwz
'e, ʾe
'ebah, ʾebah
'ebal, ʾebal
'ebed, ʾebed
'ebel, ʾebel
'eben, ʾeben
'ebenym, ʾebenym
'eber, ʾeber
'ebrah, ʾebrah
'ebuws, ʾebuws
'ebyown, ʾebyown
'ebyownym, ʾebyownym
'echad, ʾechad
'ed, ʾed
'edah, ʾedah
'edayn, ʾedayn
'eden, ʾeden
'edeny, ʾedeny
'eder, ʾeder
'edon, ʾedon
'edony, ʾedony
'edowm, ʾedowm
'edown, ʾedown
'edownay, ʾedownay
'edowny, ʾedowny
'eduwth, ʾeduwth
'egabym, ʾegabym
'egel, ʾegel
'egelym, ʾegelym
'eglah, ʾeglah
'eglath, ʾeglath
'eh, ʾeh
'ehayah, ʾehayah
'ehuwd, ʾehuwd
'ehy, ʾehy
'ek, ʾek
'ekah, ʾekah
'ekeh, ʾekeh
'ekes, ʾekes
'el, ʾel
'el-eh, ʾel-eh
'elah, ʾelah
'elam, ʾelam
'elamowth, ʾelamowth
'elamy, ʾelamy
'eldod, ʾeldod
'eleh, ʾeleh
'elehym, ʾelehym
'eleph, ʾeleph
'elephym, ʾelephym
'elgabys, ʾelgabys
'elgabysh, ʾelgabysh
'elleh, ʾelleh
'elm, ʾelm
'elohay, ʾelohay
'elohy, ʾelohy
'elohym, ʾelohym
'elowah, ʾelowah
'elowha, ʾelowha
'elown, ʾelown
'eloym, ʾeloym
'ely, ʾely
'ely'ab, ʾelyʿab
'ely'ezar, ʾelyʿezar
'elyah, ʾelyah
'elyahama', ʾelyahamaʿ
'elyl, ʾelyl
'elym, ʾelym
'elyon, ʾelyon
'elyown, ʾelyown
'elysha, ʾelysha
'elysha', ʾelyshaʿ
'elyshah, ʾelyshah
'em, ʾem
'emah, ʾemah
'emeq, ʾemeq
'emer, ʾemer
'emery, ʾemery
'emesh, ʾemesh
'emeth, ʾemeth
'emory, ʾemory
'emrah, ʾemrah
'emuwn, ʾemuwn
'emuwnah, ʾemuwnah
'enab, ʾenab
'enash, ʾenash
'enowsh, ʾenowsh
'eowlah, ʾeowlah
'epesh, ʾepesh
'eph'eh, ʾephʿeh
'epha', ʾephaʿ
'ephah, ʾephah
'ephaph, ʾephaph
'epheh, ʾepheh
'epher, ʾepher
'ephes, ʾephes
'ephowd, ʾephowd
'ephrath, ʾephrath
'ephrathah, ʾephrathah
'ephraym, ʾephraym
'eqeb, ʾeqeb
'eqrown, ʾeqrown
'er, ʾer
'erab, ʾerab
'ereb, ʾereb
'eres, ʾeres
'erets, ʾerets
'eretsowth, ʾeretsowth
'erez, ʾerez
'ermown, ʾermown
'erom, ʾerom
'erowm, ʾerowm
'erown, ʾerown
'erwah, ʾerwah
'eryah, ʾeryah
'es, ʾes
'esa'ow, ʾesaʿow
'esah, ʾesah
'esauw, ʾesauw
'esaw, ʾesaw
'eseb, ʾeseb
'eser, ʾeser
'eserah, ʾeserah
'esh, ʾesh
'esha', ʾeshaʿ
'eshah, ʾeshah
'eshdath, ʾeshdath
'esher, ʾesher
'eshkar, ʾeshkar
'eshkowl, ʾeshkowl
'eshnab, ʾeshnab
'esrah, ʾesrah
'esreh, ʾesreh
'esrym, ʾesrym
'esrymym, ʾesrymym
'et, ʾet
'eth, ʾeth
'etham, ʾetham
'ethba'al, ʾethbaʿal
'ethnan, ʾethnan
'ethow, ʾethow
'etnan, ʾetnan
'ets, ʾets
'etsah, ʾetsah
'etsba', ʾetsbaʿ
'etseb, ʾetseb
'etsel, ʾetsel
'etsem, ʾetsem
'etsemowth, ʾetsemowth
'etser, ʾetser
'etsy, ʾetsy
'etsym, ʾetsym
'etuwn, ʾetuwn
'evel, ʾevel
'ewel, ʾewel
'ewyl, ʾewyl
'ey, ʾey
'eyal, ʾeyal
'eybah, ʾeybah
'eyd, ʾeyd
'eykah, ʾeykah
'eylam, ʾeylam
'eymah, ʾeymah
'eymatan, ʾeymatan
'eyn, ʾeyn
'eyn-dowr, ʾeyn-dowr
'eyngedy, ʾeyngedy
'eynown, ʾeynown
'eyphah, ʾeyphah
'eyrom, ʾeyrom
'eyrowm, ʾeyrowm
'eythan, ʾeythan
'ez, ʾez
'ezer, ʾezer
'ezowb, ʾezowb
'ezowr, ʾezowr
'ezrach, ʾezrach
'ezrachy, ʾezrachy
'ezrah, ʾezrah
'ha, ʾha
'ibchah, ʾibchah
'ibry, ʾibry
'ibryym, ʾibryym
'idan, ʾidan
'idow, ʾidow
'igarah, ʾigarah
'igereth, ʾigereth
'ikar, ʾikar
'ilay, ʾilay
'ilem, ʾilem
'ilyn, ʾilyn
'im, ʾim
'imanuw'el, ʾimanuwʿel
'imrah, ʾimrah
'inuwn, ʾinuwn
'iower, ʾiower
'iph, ʾiph
'iqashowth, ʾiqashowth
'iqesh, ʾiqesh
'iry, ʾiry
'isah, ʾisah
'isarown, ʾisarown
'ishah, ʾishah
'ishahym, ʾishahym
'isheh, ʾisheh
'ishown, ʾishown
'ishsah, ʾishsah
'ishym, ʾishym
'itsabown, ʾitsabown
'iweleth, ʾiweleth
'iwer, ʾiwer
'iwrown, ʾiwrown
'iy, ʾiy
'iyezebel, ʾiyezebel
'iyowb, ʾiyowb
'iyr, ʾiyr
'iyry, ʾiyry
'iyrym, ʾiyrym
'iysh, ʾiysh
'iyshown, ʾiyshown
'iyshum, ʾiyshum
'iyshy, ʾiyshy
'iyshym, ʾiyshym
'iythy'el, ʾiythyʿel
'iyym, ʾiyym
'iyzebel, ʾiyzebel
'izbownym, ʾizbownym
'izuwz, ʾizuwz
'la, ʾla
'o, ʾo
'oach, ʾoach
'obadyahuw, ʾobadyahuw
'od, ʾod
'odem, ʾodem
'odowth, ʾodowth
'oheb, ʾoheb
'ohel, ʾohel
'oholah, ʾoholah
'oholybah, ʾoholybah
'ol, ʾol
'olah, ʾolah
'olam, ʾolam
'olelah, ʾolelah
'omed, ʾomed
'omer, ʾomer
'oneg, ʾoneg
'oniyah, ʾoniyah
'ony, ʾony
'onyah, ʾonyah
'opel, ʾopel
'opereth, ʾopereth
'oph, ʾoph
'ophan, ʾophan
'opheh, ʾopheh
'ophel, ʾophel
'ophesym, ʾophesym
'ophreth, ʾophreth
'or, ʾor
'orach, ʾorach
'orah, ʾorah
'oreb, ʾoreb
'orek, ʾorek
'osheq, ʾosheq
'osher, ʾosher
'otseb, ʾotseb
'otser, ʾotser
'ow, ʾow
'owb, ʾowb
'owd, ʾowd
'owdowth, ʾowdowth
'owen, ʾowen
'owg, ʾowg
'owlah, ʾowlah
'owlal, ʾowlal
'owlam, ʾowlam
'owlel, ʾowlel
'own, ʾown
'ownah, ʾownah
'owny, ʾowny
'owph, ʾowph
'owphan, ʾowphan
'owphanym, ʾowphanym
'owphereth, ʾowphereth
'owphyr, ʾowphyr
'owr, ʾowr
'owrah, ʾowrah
'owryah, ʾowryah
'owth, ʾowth
'owtsar, ʾowtsar
'owtsarowth, ʾowtsarowth
'owy, ʾowy
'owzen, ʾowzen
'oyeb, ʾoyeb
'oz, ʾoz
'ozen, ʾozen
'qidah, ʾqidah
'rets, ʾrets
'ri'shown, ʾriʿshown
'rysah, ʾrysah
'shagal, ʾshagal
'tayd, ʾtayd
'ugah, ʾugah
'ukal, ʾukal
'ulam, ʾulam
'ulpheh, ʾulpheh
'umah, ʾumah
'umnam, ʾumnam
'urym, ʾurym
'uw, ʾuw
'uw'ah, ʾuwʿah
'uwbal, ʾuwbal
'uwd, ʾuwd
'uwl, ʾuwl
'uwlam, ʾuwlam
'uwlay, ʾuwlay
'uwly, ʾuwly
'uwpaz, ʾuwpaz
'uwph, ʾuwph
'uwr, ʾuwr
'uwryah, ʾuwryah
'uwsh, ʾuwsh
'uwth, ʾuwth
'uwts, ʾuwts
'uwz, ʾuwz
'uwzal, ʾuwzal
'uzyah, ʾuzyah
'uzyahuw, ʾuzyahuw
'y, ʾy
'ym, ʾym
'yphah, ʾyphah
'yr, ʾyr
'ysh, ʾysh
'yshy, ʾyshy
al', alʿ
aruw'el, aruwʿel
b'atah, bʿatah
ba'a', baʿaʿ
ba'ad, baʿad
ba'ah, baʿah
ba'al, baʿal
ba'al's, baʿalʿs
ba'al-peor, baʿal-peor
ba'al-zebub, baʿal-zebub
ba'al-zebuwb, baʿal-zebuwb
ba'alah, baʿalah
ba'althy, baʿalthy
ba'aly, baʿaly
ba'alym, baʿalym
ba'alzebub, baʿalzebub
ba'ar, baʾar
ba'ash, baʿash
ba'ath, baʿath
ba'er, baʿer
ba'ery, baʿery
ba'osh, baʿosh
ba'r, baʿr
ba'rsheba', baʿrshebaʿ
ba'ulah, baʿulah
ba'yr, baʿyr
bala', balaʿ
balya'al, balyaʿal
baq'ah, baqʿah
baqa', baqaʿ
baqya', baqyaʿ
bara', baraʿ
bare'syth, bareʿsyth
bary', baryʿ
barya', baryaʿ
barya'ah, baryaʾah
bathuw'el, bathuwʿel
batsa', batsaʿ
baza', bazaʿ
be'er, beʿer
be'ry, beʿry
bel'sha'tsar, belʿshaʿtsar
belsha'tsar, belshaʿtsar
beltasha'tsar, beltashaʿtsar
ben-'amy, ben-ʿamy
besa', besaʿ
betsa', betsaʾ
beyth'el, beythʿel
bi'ah, biʿah
biq'ah, biqʿah
biqa'ah, biqaʿah
bo'ser, boʿser
chaba', chabaʾ
chanan'el, chananʿel
chata', chataʿ
chata'ach, chataʿach
chata'ah, chataʿah
chata'ath, chataʿath
chata'ch, chataʿch
chata'owth, chataʿowth
chata'th, chataʿth
chaya', chayaʿ
chem'ah, chemʿah
chema', chemaʿ
chema'ah, chemaʿah
cheta', chetaʿ
cheta'ah, chetaʿah
chete', cheteʿ
da', daʿ
da'ab, daʿab
da'agah, daʿagah
da'ah, daʿah
da'ak, daʿak
da'at, daʿat
da'ath, daʿath
daka', dakaʿ
dama', damaʿ
dan'el, danʿel
dany'el, danyʿel
dar'yawesh, darʿyawesh
dasha', dashaʿ
dashe', dasheʿ
de'ah, deʿah
dera'own, deraʿown
deshe', desheʿ
dim'ah, dimʿah
dima'ah, dimaʿah
dobe', dobeʿ
ga'al, gaʿal
ga'ar, gaʿar
ga'arah, gaʿarah
ga'ash, gaʿash
ga'awah, gaʿawah
ga'on, gaʿon
ga'owah, gaʿowah
ga'own, gaʿown
ga'ulah, gaʿulah
gabry'el, gabryʿel
gaby'a, gabyʿa
gada', gadaʾ
gala', galaʿ
gama', gamaʿ
gara', garaʾ
gawa', gawaʿ
gay', gayʿ
ge', geʿ
ge'eh, geʿeh
geba', gebaʿ
geza', gezaʿ
gib'ah, gibʿah
gib'ol, gibʾol
gib'own, gibʿown
giba'ah, gibaʿah
gibo'l, giboʿl
gil'ad, gilʿad
gilbo'a, gilboʿa
gile'ad, gileʿad
go'al, goʿal
gome', gomeʿ
ha'abar, haʿabar
hal'ah, halʿah
hala'ah, halaʿah
halo', haloʿ
har'el, harʾel
hashma'uwth, hashmaʿuwth
hat-ta'awah, hat-taʿawah
hata', hataʿ
he', heʿ
he'ach, heʿach
he'ah, heʿah
howsha', howshaʿ
hu', huʿ
huw', huwʿ
hy'm, hyʿm
ka'ab, kaʿab
ka'ah, kaʿah
ka'aruw, kaʿaruw
ka'ary, kaʿary
ka'as, kaʿas
ka'asher, kaʾasher
ka'eb, kaʾeb
kala', kalaʿ
kaluwa', kaluwaʿ
kaly', kalyʿ
kan'an, kanʿan
kan'aow, kanʿaow
kana', kanaʿ
kana'an, kanaʿan
kara', karaʿ
karse', karseʿ
kele', keleʿ
kese', keseʿ
kina'ah, kinaʿah
kise', kiseʿ
kowba', kowbaʿ
ky', kyʿ
la', laʿ
la'ag, laʿag
la'ah, laʿah
la'anah, laʿanah
la'om, laʿom
la'omym, laʿomym
la'owm, laʿowm
la-ma'an, la-maʿan
lab'u, labʿu
labow', labowʿ
laby', labyʿ
labya', labyaʿ
lama'an, lamaʿan
le'ma'an, leʿmaʿan
le'om, leʿom
lebowa', lebowaʿ
lowt's, lowtʿs
luwle', luwleʿ
m'ayn, mʿayn
ma', maʿ
ma'ad, maʿad
ma'ah, maʿah
ma'akal, maʾakal
ma'akeleth, maʿakeleth
ma'akoleth, maʾakoleth
ma'al, maʿal
ma'alah, maʿalah
ma'alal, maʿalal
ma'am, maʿam
ma'amaq, maʿamaq
ma'amasah, maʿamasah
ma'an, maʿan
ma'anah, maʿanah
ma'aowr, maʿaowr
ma'ar, maʿar
ma'arab, maʿarab
ma'arah, maʿarah
ma'arakah, maʿarakah
ma'aratsah, maʿaratsah
ma'as, maʿas
ma'asah, maʿasah
ma'aseh, maʿaseh
ma'asehy, maʿasehy
ma'aser, maʿaser
ma'at, maʿat
ma'ataphet, maʿataphet
ma'ateh, maʾateh
ma'ayn, maʿayn
ma'barah, maʿbarah
ma'der, maʿder
ma'en, maʿen
ma'gal, maʿgal
ma'iy, maʿiy
ma'onah, maʿonah
ma'own, maʿown
ma'owr, maʿowr
ma'owz, maʿowz
ma'oz, maʿoz
ma'utah, maʿutah
ma'uwph, maʿuwph
ma'uwrah, maʿuwrah
ma'yan, maʿyan
ma'yl, maʿyl
mabow', mabowʿ
mabowa', mabowaʿ
mabuwa', mabuwaʿ
mach'azah, machʿazah
macha', machaʿ
mada', madaʿ
maduwa', maduwaʿ
mah'an, mahʿan
mahalal'el, mahalalʿel
mak'ob, makʿob
mal'ak, malʿak
mal'aky, malʿaky
mal'akym, malʿakym
mala'kah, malaʾkah
mala'lal, malaʿlal
male', maleʿ
malkyshuwa', malkyshuwaʿ
malo', maloʿ
mamre', mamreʿ
mana', manaʾ
mar'ah, marʿah
mar'eh, marʿeh
mar'iyth, marʿiyth
mara', maraʿ
mara'ah, maraʿah
mara'showth, maraʿshowth
mare', mareʿ
mare'ah, mareʿah
margowa', margowaʿ
marpe', marpeʿ
marphe', marpheʿ
mary', maryʿ
mas'eth, masʿeth
mash'en, mashʿen
mashe'nah, masheʿnah
mata', mataʿ
mata'te', mataʿteʿ
matsa', matsaʿ
matsora', matsoraʿ
me'ah, meʿah
me'ahowth, meʿahowth
me'ahym, meʿahym
me'at, meʿat
me'eh, meʿeh
me'od, meʿod
me'owah, meʿowah
melo', meloʿ
mera', meraʿ
metash'el, metashʿel
metsora', metsoraʿ
meysha', meyshaʿ
mibtsa'r, mibtsaʿr
mikla', miklaʿ
milow', milowʿ
miqra', miqraʿ
miqra'ey, miqraʿey
miqtsowa', miqtsowaʿ
mire'ah, mireʿah
mish'an, mishʿan
mish'eneth, mishʿeneth
mish'ereth, mishʿereth
mish'y, mishʿy
misha'lah, mishaʿlah
mishma'ath, mishmaʿath
mishqa', mishqaʿ
mithnase', mithnaseʿ
mits'ad, mitsʿad
mitsa'd, mitsaʿd
miz'ar, mizʾar
miza'r, mizaʿr
mizra', mizraʿ
mo'zanaym, moʿzanaym
mo'zanym, moʿzanym
mora', moraʿ
mosheh's, moshehʿs
mow', mowʿ
mow'ab, mowʿab
mow'abite, mowʿabite
mow'al, mowʿal
mow'ed, mowʿed
mow'edym, mowʿedym
mow'etsah, mowʿetsah
mowba', mowbaʿ
mowda', mowdaʿ
mowe'tsah, moweʿtsah
mowra', mowraʿ
mowshya', mowshyaʿ
mowtsa', mowtsaʿ
mydaba', mydabaʿ
myka'el, mykaʿel
na', naʿ
na'ah, naʿah
na'al, naʿal
na'am, naʿam
na'amanym, naʾamanym
na'ap, naʿap
na'aph, naʿaph
na'aq, naʿaq
na'aqah, naʿaqah
na'ar, naʿar
na'as, naʿas
na'ats, naʿats
na'atsah, naʿatsah
na'atsuwts, naʿatsuwts
na'em, naʿem
na'qah, naʿqah
na'um, naʾum
na'uwrym, naʿuwrym
na'ym, naʿym
nab'ym, nabʿym
naba', nabaʿ
naba'ym, nabaʿym
nabuw'ah, nabuwʿah
nabuwkadne'tsar, nabuwkadneʿtsar
nabuwkadne'tstsar, nabuwkadneʿtstsar
nabuwkadre'tsar, nabuwkadreʿtsar
naby', nabyʾ
naby'ah, nabyʿah
naby'y, nabyʿy
naby'ym, nabyʾym
naga', nagaʿ
naka', nakaʿ
naqa', naqaʾ
naqe', naqeʿ
nasa', nasaʾ
nasha', nashaʾ
nashya', nashyaʿ
nasy', nasyʿ
nasy'y, nasyʾy
nasya', nasyaʿ
nasyi', nasyiʿ
nata', nataʿ
ne'um, neʿum
nebuwkadne'tstsar, nebuwkadneʿtstsar
nega', negaʿ
neta', netaʿ
ni'uphym, niʿuphym
no', noʿ
no'am, noʾam
no'ar, noʾar
no'd, noʾd
noach's, noachʾs
nua', nuaʿ
nuwa', nuwaʿ
pa'al, paʿal
pa'am, paʾam
pa'amym, paʿamym
pa'ar, paʿar
pa'er, paʿer
pa'ery, paʿery
pa'orah, paʿorah
pa'owr, paʿowr
pa'ran, paʿran
pa'ruwr, paʿruwr
pa'ulah, paʿulah
pacha', pachaʿ
padan-'aram, padan-ʿaram
paga', pagaʿ
pala', palaʿ
pany'el, panyʿel
para', paraʿ
pasa', pasaʿ
pasha', pashaʿ
pathuw'el, pathuwʿel
patsa', patsaʿ
pe'ah, peʿah
pe'ulah, peʿulah
pela', pelaʿ
pele', peleʿ
pere', pereʿ
pesha', peshaʿ
peta', petaʿ
petha', pethaʿ
phadn'aram, phadnʿaram
phar'aoh, pharʾaoh
phar'oah, pharʿoah
phar'oah's, pharʿoahʿs
phar'os, pharʿos
pharo'ah, pharoʿah
phe'ah, pheʿah
phera', pheraʿ
pith'om, pithʾom
pith'owm, pithʿowm
po'al, poʿal
po'rah, poʿrah
qala', qalaʿ
qana', qanaʿ
qapha', qaphaʿ
qara', qaraʿ
qarqa', qarqaʿ
qary', qaryʿ
qary'ah, qaryʿah
qatsa', qatsaʿ
qin'ach, qinʿach
qin'ah, qinʿah
qina'ah, qinaʿah
qipa'own, qipaʿown
qish'ah, qishʿah
